,distance_af_in_pr,distance_af_in_vl,distance_af_ex_pr,distance_af_ex_vl,distance_af_in_pr2,distance_af_in_vl2,distance_af_ex_pr2,distance_af_ex_vl2
South Africa,0.013188251000647131,0.006722986416541566,-0.010046818451666039,0.003860614697704366,0.012270180990127668,0.0067399790232414965,-0.012368214160641388,0.004383402790542061
South Korea,-0.005522112833248449,0.0026232188997892176,-0.0057281920723269986,0.0017067457558940474,-0.0062331275891558385,0.0029970456534265865,-0.005894021720220203,0.002740450995547271
Spain,0.013166983118078896,0.007085060525523603,-0.009485657157925667,0.024764672241298614,0.013591130201534612,0.00749028605238788,-0.007501284244342926,0.021286336361861356
Sri Lanka,-0.010940597375401317,0.007246793610552855,-0.002535707131134061,-0.024381930550930003,-0.0070166438197303395,0.006050106586109758,-0.005776611953201223,-0.02058221533750919
St. Kitts and Nevis,0.01615228075714977,-0.0144898996078903,0.042667852821566654,0.07504204522869393,0.01689898836206429,-0.01488478337750349,0.07868750327066668,0.050154671366413606
St. Lucia,-0.0038260216744982396,0.044322384363313275,,,-0.004492213935692991,0.04278509448921645,,
St. Vincent and the Grenadines,-0.0007571268045387841,-0.0005740514709965242,-0.029832781896387404,-0.029554442240069312,-0.001528839527080994,-0.0012608038685582175,-0.029547297688581206,-0.03044990177211329
Sudan,0.002293693616699128,0.007331525612322627,0.044428346720169244,0.04873160765277013,0.005318654275249787,0.0027596053927708467,0.04427816135299524,0.048336589254425265
Suriname,0.026994467828689184,0.005230167259206427,0.018719549736454046,0.005820505110384571,0.00993358683266791,0.020600992801363713,0.006867755441835968,0.0178035631592173
Swaziland,-0.010580598829696126,0.0035209819986239794,0.033391488459422955,0.015475941512693967,-0.009967799649389328,0.0020224622683221423,0.055100914500059814,0.014681631477467573
Sweden,0.010428907923570525,0.011486640818310863,0.007007545899824046,0.013458855921526871,0.011687182341351425,0.01040134887825577,0.0079071118377859,0.011732859290376395
Switzerland,-0.008521673350379441,-0.0031207014996664103,0.0188597727458224,0.01094959224389727,-0.007859859148374133,-0.004401893620319064,0.019885856301236488,0.009618309374253238
Syria,0.06507250254306053,0.05179065928593849,0.005726358927529068,0.014430112338049623,0.06466933738766116,0.055844578939417605,0.004222836852221614,0.014438863897221585
Taiwan,-0.02356718306752886,-0.009848850750767678,0.02983353260864905,0.05151454773725118,-0.023482749062201776,-0.01102032869512053,0.03327558279839369,0.048237601269006024
"Tanzania, United Republic of",-0.005129241643945733,0.007047996794780572,-0.01319011169322355,0.016961815550997413,-0.005307590805243197,0.0071325273403320425,-0.006739331837439977,0.010406383650736723
Thailand,0.01074389725916652,0.009506407241833194,0.007343025152261932,-0.0074420981111926856,0.013856336994188265,0.007092590855327501,0.005616271606542288,-0.004755502020359607
Togo,-0.028025622409801804,-0.01308620207560424,0.014718311858658802,0.0070601607735105406,-0.024933566012938307,-0.015817896436979263,0.01259225601052727,0.009598458259878472
Tonga,-0.02937996618911208,0.01965623296347198,,,-0.030028471077071392,0.010310707758748802,,
Trinidad and Tobago,-0.009064146788883754,-0.001782897144158105,-0.023253953227579904,-0.034731391079149965,-0.009519417081839277,9.297248479895784e-05,-0.03021220918470285,-0.026507422239618657
Tunisia,-0.020608141709311682,-0.010695015370541716,-0.0012162833263809562,-0.013903194853705532,-0.020919365483830415,-0.01013779770924141,-0.008030676589135498,-0.01020004098318008
Turkey,-0.005058371451625815,-0.0031716538486308457,-0.01723622634952678,-0.05105531278680646,-0.00468037840432987,-0.0015123444437913,-0.01828985020982817,-0.0492197866060412
