,af_in_pr,af_in_vl,af_ex_pr,af_ex_vl,af_in_pr2,af_in_vl2,af_ex_pr2,af_ex_vl2
South Africa,0.025648400133485166,0.011020941920739146,-0.016179741843756368,0.00040370095690878306,0.022892890545302903,0.01199717539694544,-0.019026772735810396,0.002610443906504037
Spain,0.016182449646078297,0.003697660231862565,-0.01342558088138787,0.03205603886580556,0.01427914179366869,0.006769458771126267,-0.009655082254168005,0.028539719926270763
Sri Lanka,-0.023239485523235032,0.001094651958930196,-0.008371041578001292,-0.03579679337700567,-0.023510212379208313,0.0013979868030450473,-0.011586032726539247,-0.03334863580664991
St. Kitts and Nevis,0.03613438942673006,-0.045656950171948964,0.13056626993845488,0.19591545320010456,0.03815922874933076,-0.04224143477552824,0.23951838139026904,0.13343164114679357
St. Lucia,-0.011942536578285154,0.09050761431115181,,,-0.01672796524294336,0.08713889462408494,,
St. Vincent and the Grenadines,-0.008445789880058813,-0.004601287123412484,-0.03128301025602211,-0.003089524225822481,-0.011108505837685467,-0.005744850613765526,-0.022527054247678126,-0.014167322273394796
Sudan (former),0.002667400994108571,0.022599242869510837,0.060388160587814266,0.047013679529975407,0.011675039130742814,0.009573978551225331,0.049964462174301616,0.05722918527651918
Suriname,0.03336786838265889,-0.006511769836530422,0.05897528146840906,0.05884661454464269,0.013318612181555858,0.01232528260718956,0.050595663271924454,0.06928958243346256
Sweden,0.01699308150638219,0.013544487242206311,0.009703178865993037,0.016863943399568183,0.016749180084282625,0.013497844424750532,0.010837452383870232,0.01511776831332915
Switzerland,-0.004064401917846508,-0.0022931160211174142,0.024226696541590407,0.010559654966554182,-0.003720552218855804,-0.00211425992254846,0.024114943999911556,0.010357181740679455
Syrian Arab Republic,0.0816963994710564,0.04550982663870445,0.016275610493380402,0.033393572072028116,0.07823497364820844,0.05671652166289037,0.01475800884746445,0.03366059881385873
Tanzania,-0.0067193719212399975,0.01687614090248282,-0.014646256013789015,0.021234363357078612,-0.008040018250740326,0.017535893926467663,-0.004499626289434674,0.013628596135269589
Thailand,0.015972269096368577,0.01255283832936309,0.016449984067784255,-0.007800348765131052,0.017796314324148636,0.011252998312354672,0.011645248837391719,-0.0034716722796854756
Togo,-0.061037949988325624,-0.03640832242397538,0.04905997643335879,0.050167214294378926,-0.05475502926531073,-0.04014082782919813,0.05323215294736127,0.047124024950397074
Tonga,-0.02956587830957082,0.019116109526715958,,,-0.032877042199497324,0.01015008387391154,,
Trinidad and Tobago,-0.005759069444611627,0.0005800694271044288,-0.014283928098505642,-0.014881940805227435,-0.0032638163923748285,0.0012752405026122814,-0.016055675473546707,-0.012146708954114687
Tunisia,-0.031841550983586715,-0.007569684026453509,0.01146839774164288,-0.0074920937874389,-0.026465232710661386,-0.01209893168806378,0.001293883278265057,-0.003469763526112531
