,gdp_af_in_pr,gdp_af_in_vl,gdp_af_ex_pr,gdp_af_ex_vl,gdp_af_in_pr2,gdp_af_in_vl2,gdp_af_ex_pr2,gdp_af_ex_vl2,pop_af_in_pr,pop_af_in_vl,pop_af_ex_pr,pop_af_ex_vl,pop_af_in_pr2,pop_af_in_vl2,pop_af_ex_pr2,pop_af_ex_vl2
Greece,0.011091909285604154,-0.004244440828683742,0.011667163446737778,-0.004590058457795022,0.011336279199184549,-0.003727082556520259,0.01100143949281957,-0.0015769219189903652,0.017918002399728142,-0.004454520671034595,0.024554457023782943,0.00493875360787131,0.01672168743932449,-0.0037668392288218175,0.02264333948101132,0.008825583359839646
Greenland,0.018283945152119913,-0.004500073502615078,0.01980269732397586,0.03300609837762358,0.023281117782314446,-0.0020417491640760147,0.03311622226110431,0.025485176577624852,0.02553077835865484,-0.011011591416655014,0.026631951283142236,0.04802260901139954,0.028371956001164808,-0.005780617156411278,0.047751147663545594,0.03472387031830357
Grenada,-0.1597164379176256,-0.09552775993275503,-0.008591862193512476,0.08050829912489657,-0.15117276996126336,-0.1014649364549855,-0.008613343684247538,0.06516845962439861,-0.14902224429262953,-0.07124008808506134,0.04114936105196617,0.20652430470481292,-0.13359655071995133,-0.08443544260973973,0.05020609221771573,0.18164740225507123
Guadeloupe,-0.04522445955603591,-0.025767963641480714,,,-0.05231889245716698,-0.024417128882979977,,,-0.042826828834554076,-0.017246510701224974,,,-0.04694319319253311,-0.020440387073103933,,
Guatemala,0.012529451503649869,0.005590745784985802,-0.009996571434401356,0.007290681290875862,0.012354953862290179,0.00921684799986678,-0.011873610516266918,0.00677939313985578,0.018901032519761787,0.011345577060779603,-0.01977957951229622,0.008046358924668309,0.017999410790180245,0.01761460179506414,-0.02092973152919017,0.0060149859460689
Guinea,0.05161796997067348,0.0009668896862786477,0.033103241637739464,0.002830214269664149,0.06504317037402824,0.000878283489616126,0.023594824244819974,0.013827571923178829,0.08155159111576554,0.013209988608517452,0.030590396297708062,-0.047114466668870314,0.09461715535896026,0.012577693301849446,0.005897544994673015,-0.019893780660051076
Guyana,-0.007069784026778179,-0.007495178376122412,0.02071348645894222,0.08615277652508473,-0.0035103471883388784,-0.007570705464648854,0.017450811729037476,0.08380060597834621,-0.016359707838610765,-0.018800687866006527,0.02024996190399799,0.07974478523650042,-0.011715994573461707,-0.017500697732500323,0.010023663030846395,0.08690975123946933
Honduras,0.02119489235295323,0.02452348037741048,0.007708069367003844,0.03913084592885753,0.02440873031304744,0.023111887564195046,0.005744917208145353,0.03747062281070763,0.03230486512601027,0.03375776080741869,0.015504363679733447,0.05567592833304172,0.0367773519657914,0.03328920852674108,0.012010246118199893,0.05526556529908093
Hungary,-0.021766411751667717,-0.052821164135201805,0.023467579733824875,0.0377378318696863,-0.027825855007703525,-0.04446915539350309,0.02809199575165388,0.032570487254947114,-0.038864624183331704,-0.07263687247684782,0.03691001434772404,0.05219830866818762,-0.04414106033600633,-0.06573962955026656,0.04118165700935093,0.04727756744454069
Iceland,0.008485205093134112,-0.008328258305909327,0.040877397075911516,0.06561083685176461,0.009774322900778641,-0.007375058529570299,0.054401269879845414,0.05240107611687574,0.01379704419757185,-0.007918342251005782,0.060490320989186656,0.12207814034157018,0.01603791100237056,-0.00796854597379593,0.06796501703289606,0.09675349721357085
India,-0.00867632117467593,-0.0017586171575330386,0.021302237012626044,0.016659982284482348,-0.006816344905721112,-0.003775039254336033,0.023548951142840786,0.015117720819348432,-0.0052775713795167635,0.0058191465347169095,0.03286027108154495,0.015039986733839007,-0.0030572229395125503,0.002948072335669124,0.03297175173585001,0.015259589813467386
Indonesia,0.02048124379802246,0.01545374844541645,-0.0040884116562953056,0.0028422057390223915,0.022062664885183995,0.014943991637071512,-0.003178448410310179,0.0013545837469923377,0.023445022208722095,0.014486468009672446,-0.004156033667913316,0.007499110586447763,0.022576181597930466,0.01684939417181967,-0.00243801513230041,0.005057406012343373
"Iran, Islamic Rep.",0.0056751331570381374,0.020170150285310214,0.004213555682162367,0.014264947836967823,0.01371035872928348,0.012611490853488878,0.005613345865456797,0.012435182737064336,0.007022195360675974,0.02827782739250725,0.010725575642009008,0.026213522365958784,0.018188049545171496,0.016884041512381372,0.012275210590410557,0.02494072907934167
Ireland,0.00580460544783335,-0.006042747728707138,-0.004423319369954755,-0.013798268997605443,0.002972532561823835,-0.002371662349873008,-0.007701863444897931,-0.01211525280312243,0.01122603118603751,-0.0023985063677146616,-0.004463898756373341,-0.020294638661619277,0.006587607727513331,0.0030994561346414937,-0.013591593973854383,-0.016189101914502114
Israel,0.005261015047047573,0.01610720016460091,0.03200507696033023,0.05003362101164704,0.010070415843211486,0.011980245812083396,0.039183904037738145,0.03970798607233243,0.0036884421720589423,0.032900539806481784,0.05448560251339059,0.06993699553905884,0.01266133851692452,0.02587020600673522,0.06001841965764869,0.06095439389151431
Italy,-0.005739351000046881,-0.008756875325065193,-0.005041148892216277,-0.006013453483279905,-0.00677889921062539,-0.006885421857232225,-0.0064586040653222005,-0.004396704132696114,-0.01183834298677072,-0.011864103963954683,-0.011319753324388629,-0.010340632887030018,-0.010648751779681682,-0.011107324970543158,-0.01276239992957421,-0.00905968218427858
