name,af_in_pr,af_in_vl,af_ex_pr,af_ex_vl,af_in_pr2,af_in_vl2,af_ex_pr2,af_ex_vl2
Afghanistan,-0.013992374991785229,-0.10083207101153777,0.03285350356422025,0.036491565355965414,-0.06259427041453741,-0.05466411882674147,0.03955434145508529,0.02548322392945465
Albania,-0.007913970408251756,0.017598108224533403,0.0434295145719643,-0.04267207469869504,-0.008775382226634095,0.015385801473938388,0.022753870417266932,-0.019369191052943317
Algeria,0.014724531823558656,0.03164856903128183,-0.0192650902796014,-0.061602195639388575,0.016632944172391494,0.02991525801295668,-0.02767723183064453,-0.04799611570533758
Antigua and Barbuda,0.034908041459560835,0.011377362170148696,-0.015004626359225441,-0.0031971288965909122,0.03173520143279358,0.008909381941445563,-0.015064718919321684,-0.003949210051092742
Argentina,0.02020455724019816,0.014489696587893544,-0.0049075479396675885,0.006334425256031727,0.02088712133744371,0.014098297950154843,0.0008363520942013477,0.0038554389074077853
Armenia,0.0076747011764973375,0.018555042902535145,0.17930291458359032,0.013008715791394038,0.009484854597012524,0.012443292433497843,0.11769392524160058,0.051685742421983226
Aruba,0.027052297899892688,0.03770750611272241,0.031755452642889835,0.08988664784552297,0.0288108348950901,0.033368706869160825,0.03824199242142312,0.0790833880707831
Australia,-0.014173071220951947,-0.034346095510022975,-0.006133290117051402,0.01413007667377604,-0.018613278313343543,-0.03362028669020718,-0.005889162102862564,0.012809767533425052
Austria,-0.02223158948752229,-0.03916747813286214,-0.0004254831829125817,-0.0031908001222561416,-0.023168054128237324,-0.03853540398461505,0.0013407355367381993,-0.004026654879175474
Azerbaijan,0.024417472554446342,0.01356056017595832,-0.034528578385938716,-0.0543528659672375,0.013305069311874916,0.014353763023408616,-0.026900774796199945,-0.05286628518204541
"Bahamas, The",-0.05708708847431681,-0.046743285607056914,0.1329327067521253,0.09289016027346532,-0.05643941094997393,-0.054509829431463874,0.10255365460780376,0.12328455207322347
Bahrain,-0.04164720888044444,-0.010291467961664164,0.0016117326309603062,0.024453859887778814,-0.03449027226763602,-0.015785943565998443,0.00887160788935433,0.009187761769334071
Bangladesh,0.04948168390910631,0.061856425903851465,0.035683603945040165,0.048882158470617366,0.06461107152908567,0.04555938565657576,0.03402396485664957,0.05556083728370696
Barbados,0.017382092284805032,-0.025641104129022402,0.055910664411972684,0.024011889437807257,0.012243783900858398,-0.022784747166210647,0.060642704136423364,0.03396587004674145
Belarus,0.049333276286333855,0.05683638050982575,-0.05490461927912968,-0.01624198763050949,0.05388172524700248,0.0542913119414817,-0.037683680812252665,-0.030323827552142305
Belgium,0.01747231194577506,0.013661264212403478,-0.014106044899611222,0.004868633711186805,0.010637149601766678,0.018414893751766328,-0.01582450434071377,0.008742849640492588
Belgium-Luxembourg,0.004300693568009814,0.0037673253615868813,-0.006859971976562909,-0.014657988544066278,0.007495313321964976,0.0002375324873307977,-0.00283028103059265,-0.014772488570909053
Belize,0.01865224886043504,-0.029746391663915437,0.03715048687998412,0.041941045563570034,0.007367485285733525,-0.02899129478267824,0.03757126444998225,0.039197355639924256
Benin,-0.0384019137506126,-0.018814236179596253,0.007939294391956633,0.003131266590890711,-0.034687271562701565,-0.01854395636494991,0.014644421432733827,-6.879317790835644e-05
Bermuda,0.03994699709901691,-0.02176417675531329,0.05495343410335349,0.10809865908924747,0.026991301968870382,-0.034444455449890284,0.06418764038803428,0.10335012342578667
Bhutan,0.03094659222996602,-0.03577249220126378,0.01576738757389991,0.004814048330774197,0.02869251271436052,-0.050587922095237714,0.007120290383727104,0.013847034118000277
Bolivia,0.009373333386765305,-0.006025694504563193,0.055424097709011855,0.06778110565112926,0.009663363425327623,-0.004909094092466692,0.05365040675111205,0.07021272796751239
Bosnia and Herzegovina,-0.00900911605498768,-0.0020139833845455577,-0.024405446589962042,0.014773857396673381,-0.010401606335631915,1.93096394087552e-05,-0.01812715238687316,0.0059088622402980505
Botswana,-0.00015784152830030745,0.012996215263609357,0.0016079333780947302,-0.04826881324156429,0.002653199729158505,0.008678119699871319,0.014981087037103843,-0.0448662917903234
Brazil,-0.03016950652572497,-0.04684449478151912,-0.030588678010799474,-0.022194605182540784,-0.03285356885787477,-0.04523758930125895,-0.03024690607360873,-0.022018530269761732
Brunei,0.05754371851575605,0.05001080630512824,-0.05803687959334958,0.2683868038547901,0.054453315665910905,0.05860689641212145,0.03895994686251842,0.20755133670723586
